Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016"
M1B,M1B,Ontario,,66108,20957,20230
M1C,M1C,Ontario,,35626,11588,11274
M1E,M1E,Ontario,,46943,17637,17161
M1G,M1G,Ontario,,29690,10116,9767
M1H,M1H,Ontario,,24383,9274,8985
M1J,M1J,Ontario,,36699,12797,12274
M1K,M1K,Ontario,,48434,18620,17930
M1L,M1L,Ontario,,35081,12884,12428
M1M,M1M,Ontario,,22913,8908,8623
M1N,M1N,Ontario,,22136,9535,9095
M1P,M1P,Ontario,,45571,17129,16540
M1R,M1R,Ontario,,29858,11141,10767
M1S,M1S,Ontario,,37769,13195,12644
M1T,M1T,Ontario,,34588,13394,12949
M1V,M1V,Ontario,,54680,16449,16092
M1W,M1W,Ontario,,48471,16597,16173
M1X,M1X,Ontario,,15097,3739,3649
M2H,M2H,Ontario,,24497,9093,8700
M2J,M2J,Ontario,,58293,22524,21876
M2K,M2K,Ontario,,23852,11147,10540
M2L,M2L,Ontario,,11717,4154,3974
M2M,M2M,Ontario,,32320,13086,12399
M2N,M2N,Ontario,,75897,36123,33765
M2P,M2P,Ontario,,7843,3155,3020
M2R,M2R,Ontario,,40792,16062,15575
M3A,M3A,Ontario,,34615,13847,13241
M3B,M3B,Ontario,,13324,5193,5001
M3C,M3C,Ontario,,39153,16199,15851
M3H,M3H,Ontario,,37011,14921,14226
M3J,M3J,Ontario,,25473,10196,9407
M3K,M3K,Ontario,,5997,2290,2208
M3L,M3L,Ontario,,17339,6656,5824
M3M,M3M,Ontario,,24046,9706,9234
M3N,M3N,Ontario,,41958,14523,13841
M4A,M4A,Ontario,,14443,6299,6170
M4B,M4B,Ontario,,18628,7872,7599
M4C,M4C,Ontario,,46866,20178,19431
M4E,M4E,Ontario,,25044,11284,10784
M4G,M4G,Ontario,,19076,8108,7731
M4H,M4H,Ontario,,19688,6475,6415
M4J,M4J,Ontario,,35738,15312,14754
M4K,M4K,Ontario,,31583,15198,14556
M4L,M4L,Ontario,,32640,14634,13901
M4M,M4M,Ontario,,24689,11393,10787
M4N,M4N,Ontario,,15330,6497,6190
M4P,M4P,Ontario,,20039,12207,11487
M4R,M4R,Ontario,,11394,5332,5036
M4S,M4S,Ontario,,26506,14011,13397
M4T,M4T,Ontario,,10463,5499,5212
M4V,M4V,Ontario,,18241,10308,9666
M4W,M4W,Ontario,,14561,7918,7267
M4X,M4X,Ontario,,20822,10809,10306
M4Y,M4Y,Ontario,,30472,21975,19665
M5A,M5A,Ontario,,41078,24186,22333
M5B,M5B,Ontario,,12785,8249,7058
M5C,M5C,Ontario,,2951,1879,1721
M5E,M5E,Ontario,,9118,6232,5682
M5G,M5G,Ontario,,8423,5876,4929
M5H,M5H,Ontario,,2005,1718,1243
M5J,M5J,Ontario,,14545,9913,8649
M5K,M5K,Ontario,,0,1,1
M5L,M5L,Ontario,,0,1,1
M5M,M5M,Ontario,,25975,9824,9408
M5N,M5N,Ontario,,16610,6889,6486
M5P,M5P,Ontario,,19423,10078,9350
M5R,M5R,Ontario,,26496,15786,13953
M5S,M5S,Ontario,,15372,9380,7878
M5T,M5T,Ontario,,17748,9480,8537
M5V,M5V,Ontario,,49195,35058,30726
M5W,M5W,Ontario,,15,11,9
M5X,M5X,Ontario,,10,5,3
M6A,M6A,Ontario,,21048,8751,8074
M6B,M6B,Ontario,,28522,11375,10728
M6C,M6C,Ontario,,24596,11043,10484
M6E,M6E,Ontario,,38041,15809,14721
M6G,M6G,Ontario,,32086,14312,13424
M6H,M6H,Ontario,,44950,20573,19209
M6J,M6J,Ontario,,32684,16333,15063
M6K,M6K,Ontario,,40957,23344,22023
M6L,M6L,Ontario,,20616,7611,7387
M6M,M6M,Ontario,,42434,16799,16020
M6N,M6N,Ontario,,41243,17239,16250
M6P,M6P,Ontario,,40035,19924,18972
M6R,M6R,Ontario,,19857,9205,8598
M6S,M6S,Ontario,,34299,15261,14655
M7A,M7A,Ontario,,10,6,5
M7Y,M7Y,Ontario,,10,7,7
M8V,M8V,Ontario,,37975,22268,19601
M8W,M8W,Ontario,,20674,9161,8770
M8X,M8X,Ontario,,10787,4680,4523
M8Y,M8Y,Ontario,,21299,10485,9782
M8Z,M8Z,Ontario,,17038,7046,6782
M9A,M9A,Ontario,,35594,15730,15119
M9B,M9B,Ontario,,32400,12617,12292
M9C,M9C,Ontario,,38291,15402,15111
M9L,M9L,Ontario,,11950,4122,3746
M9M,M9M,Ontario,,22263,7757,7310
M9N,M9N,Ontario,,25074,10713,10171
M9P,M9P,Ontario,,20874,8198,7906
M9R,M9R,Ontario,,33743,12755,12336
M9V,M9V,Ontario,,55959,17590,16808
M9W,M9W,Ontario,,40684,14487,13704
