country,number,long1,lat1,long2,lat2
Austria,1375,14.5058,46.0569,14.5501,47.5162
Bosnia and Herzegovina,143,14.5058,46.0569,17.6791,43.9159
Montenegro,15,14.5058,46.0569,19.3744,42.7087
France,87,14.5058,46.0569,2.2137,46.2276
Croatia,594,14.5058,46.0569,15.2,45.1
Italy,362,14.5058,46.0569,12.5674,41.8719
Kosovo,25,14.5058,46.0569,20.903,42.6026
Germany,1078,14.5058,46.0569,10.4515,51.1657
North Macedonia,46,14.5058,46.0569,21.7453,41.6086
Serbia,121,14.5058,46.0569,21.0059,44.0165
Sweden,73,14.5058,46.0569,18.6435,60.1282
Switzerland,458,14.5058,46.0569,8.2275,46.8182
Canada,60,14.5058,46.0569,-106.3468,56.1304
United States,141,14.5058,46.0569,-95.7129,37.0902
Australia,99,14.5058,46.0569,133.7751,-25.2744
Africa,15,14.5058,46.0569,34.5085,-8.7832
Asia,115,14.5058,46.0569,94.2637,51.4329
South America,20,14.5058,46.0569,-55.4915,-8.7832
